,Rb,K,Ba,Th,U ,Ta,Nb,La,Ce,Pb,Pr,Sr,P,Nd,Zr,Hf,Sm,Eu,Ti,Gd,Tb,Dy,Y ,Ho,Er,Tm,Yb,Lu
"N-MORB (Gale et al., 2013)",1.84,1161.702128,19.6,0.252,0.083,0.24,3.62,4.19,12.42,0.51,1.98,128,716.056338,10.66,101.9,2.46,3.48,1.26,9180,4.55,0.82,5.5,33.2,1.18,3.42,0.52,3.28,0.48
"D-MORB (Gale et al., 2013)",1.05,796.5957447,11.4,0.156,0.055,0.17,2.4,3.12,10.01,0.43,1.71,111,668.028169,9.46,92.6,2.31,3.32,1.21,9060,4.43,0.82,5.48,33.2,1.19,3.46,0.52,3.31,0.5
"E_MORB (Gale et al., 2013)",10.56,3269.361702,125.5,1.367,0.386,1.09,17.07,12.02,25.52,0.98,3.28,207,1065.352113,14.86,110.1,2.54,3.72,1.29,9180,4.26,0.73,4.62,26.6,0.96,2.75,0.41,2.59,0.38
"Kamchatka 1 (Ivanov et al., 2008)",18,8629.787234,321,1.19,0.62,0.26,4.3,9.6,23.2,3.8,3.2,551,1091.549296,14.8,102,2.6,3.7,1.22,6180,3.6,0.58,3.5,20,0.72,2,0.28,1.8,0.28
Kamchatka 2 (Ivanov et al. 2008),4,1908.510638,92,0.46,0.2,0.07,1,2.9,7.8,2.3,1.2,258,392.9577465,6,37,1.1,1.8,0.68,3840,2.4,0.42,2.8,16,0.58,1.7,0.26,1.6,0.24
"bhvo-1 (Weis et al., 2005)",11,4314.893617,139,1.08,0.42,1.23,19,15.8,39,2.6,5.7,403,1191.971831,25.2,179,4.38,6.2,2.06,16260,6.4,0.96,5.2,27.6,0.99,2.4,0.33,2.02,
"OIB (Sun&McDoniugh, 1989)",31,12000,350,4,1.02,2.7,47,37,80,3.2,9.7,660,2700,38.5,280,7.8,10,3,17200,7.62,1.05,5.6,29,1.06,2.62,0.35,2.16,0.3
"N_MORB (Sun&McDonough., 1989)",0.56,600,6.3,0.12,0.047,0.132,2.33,2.5,7.5,0.3,1.32,90,510,7.3,74,2.05,2.63,1.02,7600,3.68,0.67,4.55,28,1.01,2.97,0.456,3.05,0.455
"E_MORB (Sun&McDonough., 1989)",5.04,2100,57,0.6,0.18,0.47,8.3,6.3,15,0.6,2.05,155,620,9,73,2.03,2.6,0.91,6000,2.97,0.53,3.55,22,0.79,2.31,0.356,2.37,0.354
"IAB (Pearce et al., 2005)",6.76,3311.30,86.58,0.65,0.24,0.20,3.02,6.13,14.36,1.26,2.18,254.33,689.10,10.55,82.04,2.07,3.10,1.11,9697.30,3.71,0.64,4.14,25.84,0.88,2.50,0.39,2.43,0.38
"Southerm Mariana Trough (Pearce et al., 2005)",20.15,7593,289.75,2.13,0.73,0.2,3.89,19.45,40.08,3.74,4.88,584.75,1147,20.78,118.73,2.98,5.1,1.62,7612,4.8,0.74,4.39,26.56,0.89,2.57,0.39,2.5,0.4
Southern Seamont Province,12.44,6136,167.11,0.72,0.36,0.08,1.37,6.28,13.59,1.76,2.13,336.22,677.8,9.97,55.38,1.57,2.78,0.98,4854,3.2,0.53,3.4,21.53,0.72,2.07,0.33,2.1,0.33